"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"17591","monstrous",-0.03,0.97,-0.21,1
"17592","montage",-0.09,0.55,0.02,0.88
"17593","montana",-0.35,0.94,-0.43,0.97
"17594","monte",0.16,0.53,0.38,0.68
"17595","monterey",0.34,0.67,0.47,0.89
"17596","montgomery",-0.11,1,0.23,1
"17597","montgomery's",0.32,1,0.2,0.96
"17598","month",-0.59,1,-0.46,0.96
"17599","monthly",-0.37,1,-0.68,1
"17600","months",-0.63,1,-0.53,1
"17601","month's",-0.07,1,-0.42,0.92
"17602","monticello",0.06,0.91,0.36,0.79
"17603","montpelier",0.51,0.64,0.37,0.74
"17604","montreal",-0.31,0.97,-0.21,0.96
"17605","monument",-0.17,0.97,-0.13,0.92
"17606","monumental",0.01,0.91,0.14,1
"17607","monumentality",0.9,0.82,0.91,0.48
"17608","monumentally",0.56,0.86,0.72,0.83
"17609","monuments",-0.07,0.94,0.02,1
"17610","moo",-0.03,0.94,-0.47,1
"17611","mooch",-0.01,0.72,-0.47,0.96
"17612","moocow",0.77,0.18,0.86,0.85
"17613","mood",-0.77,0.88,-0.69,1
"17614","moodily",0.2,0.71,0.28,0.77
"17615","moods",-0.64,0.94,-0.7,0.96
"17616","moody",-0.56,1,-0.56,1
"17617","mooed",0,0.25,0.08,0.65
"17618","moon",-0.77,1,-0.76,1
"17619","moonbeam",-0.05,0.94,-0.01,1
"17620","moonless",0.12,0.97,-0.51,1
"17621","moonlight",-0.46,1,-0.51,0.96
"17622","moonlike",-0.14,1,-0.39,1
"17623","moonlit",-0.17,0.88,-0.21,0.96
"17624","moons",-0.53,0.94,-0.51,0.95
"17625","moon's",-0.24,0.97,-0.38,1
"17626","moonshine",-0.29,0.97,-0.15,1
"17627","moonstone",-0.15,0.85,0.18,1
"17628","moonstruck",-0.23,1,-0.31,0.96
"17629","moony",-0.06,0.5,-0.25,0.96
"17630","moor",0.15,0.56,-0.26,0.93
"17631","moore",-0.24,0.94,-0.55,0.96
"17632","moored",0.01,0.45,-0.37,0.92
"17633","moore's",-0.2,0.97,-0.23,1
"17634","mooring",0.39,0.53,-0.24,0.96
"17635","moorish",0.2,0.64,-0.2,0.89
"17636","moorland",0.28,0.38,0.05,0.96
"17637","moors",0.01,0.79,-0.53,0.92
"17638","moos",0.33,0.35,-0.56,0.83
"17639","moose",-0.41,1,-0.41,1
"17640","moot",0.07,0.25,-0.66,0.92
"17641","mop",-0.55,0.94,-0.68,1
"17642","mope",-0.3,0.74,-0.49,0.92
"17643","moped",-0.09,0.84,-0.22,0.79
"17644","mopped",-0.02,0.94,-0.55,0.96
"17645","moppet",0.37,0.24,-0.05,0.79
"17646","mopping",-0.32,0.97,-0.52,0.92
"17647","mops",-0.24,0.94,-0.57,1
"17648","moral",-0.48,1,-0.37,0.93
"17649","morale",-0.37,0.97,-0.15,0.93
"17650","moralist",-0.35,0.85,-0.17,1
"17651","moralistic",0.22,0.94,0.26,1
"17652","moralities",0.41,0.97,0.24,0.93
"17653","morality",0.03,0.94,-0.2,0.93
"17654","moralize",-0.25,0.97,-0.32,1
"17655","morally",-0.2,0.91,-0.35,0.86
"17656","morals",-0.58,0.97,-0.61,1
"17657","morass",-0.16,0.41,0.21,0.65
"17658","moratorium",0.75,0.48,1.04,0.77
"17659","morbid",-0.32,1,-0.42,1
"17660","morbidity",0.37,0.81,0.22,0.63
"17661","more",-0.79,1,-0.73,1
"17662","morel",-0.38,0.34,-0.24,0.73
"17663","moreover",-0.07,1,0.01,0.96
"17664","mores",-0.06,0.68,-0.37,0.89
"17665","more's",0.05,0.52,-0.43,0.96
"17666","morgan",-0.57,0.97,-0.3,1
"17667","morgan's",-0.25,0.91,-0.39,1
"17668","morgue",-0.01,0.88,-0.47,1
"17669","moribund",0.42,0.3,0.95,0.32
"17670","mormon",0.03,0.97,-0.01,0.96
"17671","mormonism",0.89,0.59,0.84,0.88
"17672","morn",0.22,0.72,-0.33,1
"17673","morning",-0.68,0.97,-0.61,0.96
"17674","mornings",-0.38,0.97,-0.42,1
"17675","morning's",-0.03,0.89,-0.47,0.96
"17676","moroccan",0.3,0.72,0.57,0.96
"17677","morocco",-0.2,0.97,-0.19,0.96
"17678","moron",-0.31,0.94,-0.32,0.88
"17679","morose",0.3,0.57,0.02,0.75
"17680","morosely",0.4,0.52,0.33,0.72
"17681","morpheme",-0.21,0.39,0.2,0.62
"17682","morphemic",0.4,0.67,1.07,0.57
"17683","morpheus",0.2,0.65,0.01,0.93
"17684","morphine",-0.41,0.97,-0.22,1
"17685","morphological",0.5,0.81,0.77,0.84
"17686","morphology",0.31,0.76,0.49,0.96
"17687","morris",-0.27,0.94,-0.53,1
"17688","morrow",0.32,0.81,-0.28,0.86
"17689","morse",0.02,0.74,-0.52,1
"17690","morsel",-0.21,0.97,-0.48,1
"17691","morsels",-0.2,0.88,-0.2,1
"17692","mortal",-0.62,0.94,-0.38,1
"17693","mortality",-0.06,0.97,-0.12,0.93
"17694","mortally",-0.08,1,0.04,0.92
"17695","mortals",-0.24,0.94,-0.48,1
"17696","mortar",-0.26,0.88,-0.24,0.96
"17697","mortarboard",0.77,0.55,0.81,0.88
"17698","mortared",1.03,0.31,0.85,0.57
"17699","mortaring",0.64,0.28,1,0.68
"17700","mortars",0.36,0.65,-0.26,0.92
"17701","mortgage",-0.35,0.91,-0.03,0.92
"17702","mortgages",0.1,0.97,0.19,1
"17703","mortician",0.53,0.77,-0.01,0.92
"17704","morticians",0.51,0.71,0.54,0.96
"17705","mortification",0.37,0.97,0.48,1
"17706","mortify",-0.07,1,-0.22,1
"17707","morton",0.17,0.91,-0.26,1
"17708","morton's",-0.28,0.85,-0.2,0.92
"17709","mortuary",-0.06,0.76,0.37,0.9
"17710","mosaic",-0.17,0.85,-0.09,0.96
"17711","mosaics",-0.14,0.75,0.11,0.92
"17712","moscow",-0.48,1,-0.29,1
"17713","moscow's",-0.29,0.94,-0.28,1
"17714","moses",-0.45,1,-0.44,1
"17715","mosey",0.23,0.35,-0.29,0.85
"17716","moslem",0.28,0.59,0.18,0.77
"17717","moslems",0.52,0.48,0.37,0.85
"17718","mosque",0.12,0.82,-0.04,0.85
"17719","mosques",0.36,0.73,0.19,0.81
"17720","mosquito",-0.01,1,-0.02,1
"17721","mosquitoes",0.02,0.88,0.22,1
"17722","moss",-0.68,0.94,-0.73,1
"17723","mossy",-0.51,0.71,-0.08,1
"17724","most",-0.81,1,-0.69,1
"17725","mostly",-0.57,0.97,-0.63,0.96
"17726","motel",-0.73,0.97,-0.66,0.96
"17727","motels",-0.33,0.94,-0.11,0.97
"17728","moth",-0.39,0.94,-0.53,1
"17729","mothball",0.12,0.94,-0.25,1
"17730","mother",-0.67,1,-0.69,1
"17731","mothered",-0.27,0.94,-0.44,1
"17732","motherhood",-0.51,1,-0.45,0.96
"17733","motherland",-0.22,0.97,-0.43,0.96
"17734","motherless",-0.25,0.97,-0.33,1
"17735","motherly",-0.56,1,-0.41,0.96
"17736","mothers",-0.5,0.94,-0.7,1
"17737","mother's",-0.65,1,-0.66,1
"17738","mothproof",1.01,0.13,0.51,0.93
"17739","moths",-0.23,0.97,-0.37,1
"17740","moth's",-0.07,0.85,-0.42,1
"17741","motif",-0.12,0.73,0.04,0.89
"17742","motifs",0.08,0.64,-0.04,0.74
"17743","motion",-0.64,0.94,-0.57,1
"17744","motional",0.37,0.58,0.34,0.88
"17745","motioned",-0.1,0.88,-0.02,1
"17746","motioning",0.03,0.94,0.08,0.93
"17747","motionless",-0.14,0.97,-0.43,1
"17748","motions",-0.65,0.97,-0.57,0.96
"17749","motivate",-0.3,1,-0.21,1
"17750","motivated",-0.62,0.94,-0.29,1
"17751","motivates",-0.27,0.97,-0.38,1
"17752","motivating",-0.16,1,-0.4,1
"17753","motivation",-0.34,1,-0.36,1
"17754","motivations",-0.26,1,-0.3,1
"17755","motive",-0.3,0.97,-0.44,1
"17756","motiveless",0.68,0.93,0.48,0.96
"17757","motives",-0.47,0.97,-0.41,0.96
"17758","motley",-0.09,0.58,0.11,0.96
"17759","motocross",0.7,0.58,0.32,0.76
"17760","motor",-0.62,1,-0.54,1
"17761","motorbike",0.01,0.97,-0.32,0.93
"17762","motorboat",-0.07,0.94,-0.3,0.96
"17763","motorcade",0.47,0.72,0.24,0.96
"17764","motorcar",0.03,0.91,-0.33,1
"17765","motorcycle",-0.4,1,-0.47,1
"17766","motoring",-0.18,0.97,0.06,0.93
"17767","motorist",-0.37,0.97,-0.49,1
"17768","motorists",-0.3,0.94,-0.25,0.96
"17769","motorize",-0.02,0.97,-0.37,1
"17770","motors",-0.68,1,-0.51,1
"17771","motorway",0.21,0.94,-0.1,1
"17772","mottle",0.49,0.3,-0.27,0.92
"17773","mottled",0.25,0.48,-0.21,0.75
"17774","motto",-0.37,0.91,-0.22,1
"17775","mould",-0.18,0.42,0.13,0.65
"17776","mouldering",0.43,0.46,-0.01,0.96
"17777","moulding",0.34,0.75,-0.14,0.89
"17778","mound",-0.52,0.88,-0.51,0.96
"17779","mounded",-0.25,0.94,0.18,0.93
"17780","mounds",-0.31,0.97,-0.58,1
"17781","mount",-0.45,0.88,-0.66,1
"17782","mountain",-0.69,1,-0.57,0.96
"17783","mountaineer",0.39,0.91,0.07,0.96
"17784","mountaineering",0.94,0.88,0.55,0.92
"17785","mountainous",0.54,0.94,0.55,0.96
"17786","mountainously",0.94,0.86,1.03,0.76
"17787","mountains",-0.56,1,-0.45,1
"17788","mountainside",0.29,0.91,0.09,1
"17789","mountainsides",1.15,0.9,0.73,0.93
"17790","mountaintop",0.39,0.97,0.11,0.92
"17791","mounted",-0.47,0.97,-0.4,1
"17792","mountie",0.38,0.45,0.18,0.88
"17793","mounting",-0.45,0.97,-0.48,1
"17794","mountings",-0.17,0.82,-0.3,0.96
"17795","mounts",-0.37,0.94,-0.51,1
"17796","mourn",-0.25,0.97,-0.43,1
"17797","mourned",0.05,0.88,-0.15,1
"17798","mourner",-0.13,0.82,0.08,0.96
"17799","mourners",-0.01,0.91,-0.03,0.96
"17800","mournful",-0.18,0.97,-0.32,1
"17801","mournfully",0.09,0.91,-0.08,1
"17802","mourning",-0.28,0.97,-0.39,0.96
"17803","mouse",-0.71,0.94,-0.55,1
"17804","mousetrap",-0.15,1,-0.22,1
"17805","moussaka",0.64,0.32,0.82,0.76
"17806","mousse",0.03,0.65,0.05,0.88
"17807","moustache",0.11,0.89,-0.09,0.93
"17808","mousy",0.34,0.52,-0.09,0.96
"17809","mouth",-0.78,1,-0.34,1
"17810","mouthed",-0.04,0.94,-0.07,1
"17811","migrated",-0.4,1,0.03,1
"17812","migrates",-0.22,0.97,-0.24,0.96
"17813","migrating",0,1,-0.01,1
"17814","migration",-0.25,1,-0.16,0.96
"17815","migratory",0.45,0.76,0.61,0.88
"17816","miguel",0.28,0.94,0.29,0.86
"17817","mike",-0.6,0.97,-0.87,1
"17818","mike's",-0.66,1,-0.63,1
"17819","milady",0.29,0.2,0.93,0.64
"17820","milan",-0.02,0.88,0.06,0.93
"17821","mild",-0.6,0.97,-0.65,1
"17822","milder",-0.02,0.81,0.04,0.96
"17823","mildew",-0.32,0.97,-0.33,1
"17824","mildly",-0.33,0.91,-0.11,1
"17825","mile",-0.59,0.97,-0.85,1
"17826","mileage",-0.16,0.88,-0.1,0.93
"17827","miler",0.05,0.3,0.18,0.6
"17828","miles",-0.6,0.97,-0.7,1
"17829","milestone",-0.39,0.97,-0.14,1
"17830","milestones",-0.26,1,-0.42,1
"17831","milieu",0.09,0.41,0.36,0.46
"17832","militancy",0.8,0.71,0.77,0.85
"17833","militant",0.04,0.91,0.03,1
"17834","militantly",0.79,0.9,0.63,0.87
"17835","militarily",0.65,0.94,0.12,0.89
"17836","militarism",0.47,0.97,0.03,0.86
"17837","militarist",0.52,0.94,0.28,0.64
"17838","militarist's",0.93,0.8,0.5,0.68
"17839","militarization",0.71,0.9,0.46,0.91
"17840","militarize",0.13,0.94,0.03,0.92
"17841","military",-0.42,0.97,-0.39,0.97
"17842","militia",0.08,0.85,0.19,1
"17843","militiaman",0.59,0.36,1.07,0.53
"17844","milk",-0.86,1,-0.79,1
"17845","milkmaid",0.21,0.85,-0.23,0.96
"17846","milkman",-0.14,1,-0.44,1
"17847","milks",-0.38,1,-0.52,1
"17848","milkshake",-0.27,1,-0.26,1
"17849","milkweed",0.13,0.91,0.09,0.96
"17850","milky",-0.09,1,-0.43,1
"17851","mill",-0.51,0.97,-0.47,1
"17852","millenium",-0.16,1,-0.23,1
"17853","millennia",0.37,0.68,0.16,0.96
"17854","millennium",-0.22,1,-0.17,1
"17855","miller",-0.43,0.83,-0.62,1
"17856","miller's",-0.44,1,-0.32,1
"17857","milligram",-0.03,0.82,-0.25,1
"17858","milligrams",0.1,0.76,0.11,1
"17859","milliliter",0.65,0.71,1.15,0.7
"17860","millimeter",0,0.94,0.17,1
"17861","millinery",0.1,0.19,0.92,0.68
"17862","milling",-0.05,0.79,-0.37,1
"17863","million",-0.4,1,-0.5,1
"17864","millionaire",-0.08,0.94,-0.29,1
"17865","millionaires",0.26,0.91,0.02,1
"17866","millionfold",0.51,0.59,0.89,0.92
"17867","millions",-0.49,1,-0.41,1
"17868","millionth",0.6,0.41,0.84,0.88
"17869","millipede",0.46,0.67,0.43,1
"17870","mills",-0.46,1,-0.58,1
"17871","millstone",0.17,0.85,-0.32,0.77
"17872","millwheel",0.61,0.68,0.22,0.93
"17873","milt",-0.45,0.22,-0.56,0.96
"17874","milton",-0.1,0.94,-0.34,1
"17875","miltonic",0.78,0.32,0.73,0.81
"17876","milton's",-0.14,0.91,-0.21,1
"17877","milwaukee",0.02,0.91,-0.22,1
"17878","milwaukee's",-0.02,0.94,-0.03,1
"17879","mime",-0.21,0.82,-0.55,1
"17880","mimeograph",1.37,0.18,0.92,0.87
"17881","mimesis",0.45,0.1,1.44,0.33
"17882","mimetic",0.31,0.18,0.95,0.56
"17883","mimic",-0.34,0.94,-0.31,0.96
"17884","mimicry",0.26,0.41,0.16,0.92
"17885","mimosa",0.49,0.55,0.49,0.72
"17886","minarets",1.06,0.27,0.55,0.77
"17887","mince",-0.08,0.79,-0.34,0.96
"17888","minced",0.01,0.84,-0.45,0.96
"17889","mincemeat",1.06,0.52,0.78,0.89
"17890","mincer",0.55,0.55,-0.06,0.92
"17891","mincing",0.13,0.83,-0.1,0.93
"17892","mind",-0.77,0.97,-0.6,0.96
"17893","minded",-0.52,0.97,-0.36,1
"17894","minder",-0.21,0.82,-0.46,0.92
"17895","mindful",-0.16,0.94,-0.34,1
"17896","mindless",-0.44,1,-0.49,1
"17897","minds",-0.59,1,-0.6,0.96
"17898","mind's",-0.6,1,-0.53,1
"17899","mine",-0.58,0.97,-0.59,1
"17900","mined",-0.07,0.79,-0.31,1
"17901","minefield",0.24,0.73,0.13,0.96
"17902","minelayer",0.63,0.67,0.47,0.89
"17903","miner",-0.35,1,-0.45,1
"17904","mineral",-0.45,0.97,-0.32,1
"17905","mineralized",0.33,0.94,0.22,0.96
"17906","mineralogies",0.83,0.33,1.5,0.5
"17907","mineralogical",1.2,0.52,1.59,0.9
"17908","mineralogist",1.1,0.86,0.73,0.83
"17909","mineralogy",0.69,0.47,1,0.61
"17910","minerals",-0.27,0.97,-0.17,1
"17911","miners",-0.17,0.91,-0.45,0.96
"17912","minerva",0.44,0.48,0.19,0.89
"17913","mines",-0.47,0.97,-0.49,1
"17914","minestrone",0.55,0.83,0.48,0.71
"17915","minesweeper",-0.08,0.85,-0.15,0.96
"17916","mingle",-0.23,0.97,-0.4,1
"17917","mingled",-0.02,0.82,-0.16,1
"17918","mingles",0.13,0.84,-0.12,0.96
"17919","mingling",-0.13,0.8,-0.07,0.93
"17920","mini",-0.44,0.97,-0.39,1
"17921","miniature",0.04,1,-0.31,1
"17922","miniatures",0.11,0.94,-0.04,1
"17923","minibus",0.43,0.45,0.43,0.8
"17924","minimal",-0.27,0.91,-0.24,1
"17925","minimally",0.56,0.9,0.19,1
"17926","minimize",-0.47,0.97,-0.45,1
"17927","minimized",-0.24,1,-0.28,0.96
"17928","minimizes",-0.15,1,-0.09,1
"17929","minimizing",0.07,0.94,0.2,1
"17930","minimum",-0.06,0.94,-0.4,0.96
"17931","mining",-0.07,1,-0.32,0.96
"17932","minion",0.32,0.47,-0.03,1
"17933","miniscule",0.06,0.74,0.32,1
"17934","minister",-0.33,1,-0.37,1
"17935","ministered",0.21,0.94,0.24,0.96
"17936","ministerial",0.63,0.85,0.87,0.77
"17937","ministers",-0.1,0.97,-0.19,1
"17938","minister's",-0.21,0.97,-0.1,1
"17939","ministrations",1.01,0.35,0.96,0.8
"17940","ministries",0.21,0.88,0.22,1
"17941","ministry",-0.33,0.91,-0.15,1
"17942","mink",-0.2,0.91,-0.79,0.89
"17943","minks",-0.06,0.86,-0.54,1
"17944","minneapolis",0.01,0.97,0,0.96
"17945","minnesota",-0.34,0.94,-0.19,1
"17946","minnesota's",-0.2,0.97,-0.13,1
"17947","minnie",0.19,0.88,-0.23,1
"17948","minnow",0.29,0.88,-0.06,0.89
"17949","minor",-0.63,1,-0.64,1
"17950","minorities",-0.06,1,0.1,0.96
"17951","minority",-0.39,1,-0.36,0.93
"17952","minors",-0.36,0.97,-0.51,1
"17953","minotaur",0.64,0.42,0.57,0.89
"17954","minstrel",-0.05,0.67,0.35,0.88
"17955","minstrels",0.6,0.67,0.43,0.91
"17956","mint",-0.69,1,-0.77,1
"17957","minter",-0.58,0.23,-0.02,0.88
"17958","minuet",0.27,0.69,0.61,0.87
"17959","minus",-0.16,0.97,-0.34,1
"17960","minuscule",0.36,0.72,0.56,0.89
"17961","minute",-0.67,1,-0.3,1
"17962","minutely",0.23,0.84,0.54,0.86
"17963","minuteman",0.25,0.88,0.09,0.96
"17964","minutemen",0.43,0.88,0.23,0.88
"17965","minutes",-0.72,0.97,-0.42,0.97
"17966","minute's",-0.19,1,0.05,1
"17967","minutiae",0.97,0.09,1.02,0.13
"17968","minx",0.1,0.34,-0.35,0.88
"17969","miracle",-0.57,0.97,-0.5,1
"17970","miracles",-0.45,1,-0.38,0.96
"17971","miraculous",0.24,1,-0.12,0.96
"17972","miraculously",0.17,0.82,0.24,0.9
"17973","mirage",0.05,0.91,0.04,0.93
"17974","mire",-0.1,0.45,-0.45,0.86
"17975","miriam",0.44,0.83,0.11,0.88
"17976","miriam's",0.18,0.78,0.11,0.96
"17977","mirror",-0.66,1,-0.66,1
"17978","mirrored",0.16,0.94,-0.11,1
"17979","mirrors",-0.75,1,-0.39,1
"17980","mirth",0.09,0.39,-0.58,1
"17981","mirthless",0.65,0.55,0.06,0.92
"17982","misadventure",0.28,0.97,-0.09,0.97
"17983","misadvise",0.5,0.81,0.36,0.96
"17984","misalignment",0.76,0.9,0.67,1
"17985","misalliance",1.35,0.45,1.18,0.86
"17986","misanthrope",0.65,0.64,0.62,0.73
"17987","misanthropic",0.93,0.71,0.73,0.65
"17988","misanthropy",0.53,0.67,0.98,0.64
"17989","misapply",0.53,0.62,0.16,0.89
"17990","misbehave",0.28,0.94,-0.05,1
"17991","misbranded",0.65,0.82,0.5,0.96
"17992","misapplication",0.95,0.88,0.67,1
"17993","misapprehend",0.89,0.9,0.82,0.93
"17994","misappropriate",0.67,0.97,0.57,0.92
"17995","misapprehension",1.44,0.87,1.04,0.77
"17996","misbegotten",0.44,0.53,0.28,0.96
"17997","misbehavior",0.1,1,-0.4,1
"17998","miscalculate",0.55,0.97,0.94,0.96
"17999","miscalculated",0.35,0.91,0.45,1
"18000","miscalculation",0.75,0.94,0.49,1
"18001","miscalculations",0.68,0.97,0.34,1
"18002","miscall",-0.03,0.71,-0.25,1
"18003","miscarriage",-0.15,1,-0.17,1
"18004","miscarried",0.06,0.94,-0.01,1
"18005","miscarry",0.19,1,-0.12,1
"18006","miscast",0.21,0.68,0.1,1
"18007","miscellaneous",0.02,0.94,0.39,1
"18008","miscellanies",-0.15,0.25,0.59,0.52
"18009","mischance",0.53,0.79,0.24,0.92
"18010","mischief",-0.34,0.94,-0.48,0.96
"18011","mischievous",-0.02,0.91,0.31,1
"18012","misconceive",0.71,0.91,0.57,0.92
"18013","misconception",0.25,0.88,0.2,1
"18014","misconceptions",0.72,0.94,0.06,1
"18015","misconduct",-0.03,1,-0.23,0.96
"18016","misconstruction",1.04,0.88,0.52,0.92
"18017","misconstructions",0.98,0.92,1.12,0.91
"18018","misconstrue",1.21,0.69,0.79,0.87
"18019","misconstrued",0.72,0.84,0.6,0.88
"18020","miscount",0.08,0.91,-0.11,1
"18021","miscreant",0.31,0.42,0.18,0.77
"18022","miscreants",0.16,0.32,0.47,0.65
"18023","miscue",0.68,0.55,0.14,0.91
"18024","misdate",0.5,0.66,-0.18,0.92
"18025","misdeal",0.67,0.85,-0.21,0.96
"18026","misdeed",0.09,0.78,-0.13,1
"18027","misdeeds",0.21,0.7,-0.13,0.92
"18028","misdemeanor",0.4,0.94,-0.25,1
"18029","misdirect",0.13,0.97,0.15,1
"18030","misdoing",0.31,0.79,-0.24,1
"18031","miser",0.25,0.82,-0.19,0.81
"18032","misdirection",0.49,0.97,0.23,1
"18033","miserable",-0.33,1,-0.25,1
"18034","miserably",-0.03,0.97,-0.15,1
"18035","miseries",0.12,0.97,-0.12,0.96
"18036","misery",-0.43,1,-0.47,1
"18037","misfire",-0.06,0.9,-0.24,1
"18038","misfired",0.2,0.8,-0.07,0.96
"18039","misfit",0.02,0.91,-0.41,1
"18040","misfortune",-0.34,0.94,-0.3,0.96
"18041","misfortunes",-0.09,0.97,-0.05,1
"18042","misgauged",0.91,0.63,0.56,0.8
"18043","misgive",-0.07,0.75,-0.03,1
"18044","misgivings",0.43,0.91,-0.09,1
"18045","misgovern",0.41,0.64,0.04,0.96
"18046","misguide",0.14,0.97,-0.09,1
"18047","misguided",0.07,0.91,-0.11,1
"18048","mishandle",0.21,0.85,-0.06,1
"18049","mishap",-0.16,0.85,-0.13,0.89
"18050","mishear",0.89,0.29,0.43,0.85
"18051","mishmash",0.98,0.52,0.18,0.96
"18052","misinform",0.67,0.86,0.27,1
"18053","misinformation",0.55,0.97,0.18,0.96
"18054","misinterpret",0.3,1,0.22,0.96
"18055","misinterpretation",1.14,0.94,0.35,0.96
"18056","misinterpreted",0.84,1,0.16,1
"18057","misjudge",-0.08,1,-0.31,1
"18058","misjudged",-0.1,0.91,-0.32,1
"18059","mislay",0.35,0.85,-0.32,0.96
"18060","mislead",-0.43,0.97,-0.37,1
"18061","misleading",-0.26,1,-0.17,1
"18062","misleads",-0.27,0.91,-0.23,1
"18063","misled",-0.07,0.85,-0.08,0.96
"18064","mismanage",0.64,0.88,0.35,0.96
"18065","mismanaged",0.84,0.97,0.24,1
"18066","mismatch",-0.27,1,-0.5,1
"18067","misname",0.21,0.79,0.08,1
"18068","misnamed",0.65,0.91,-0.06,1
"18069","misnomer",0.39,0.48,0.69,0.73
"18070","misogyny",0.59,0.44,1.07,0.52
"18071","misperceives",1.45,0.72,0.95,0.9
"18072","misplace",-0.29,0.97,-0.37,1
"18073","misplaced",-0.28,1,-0.31,1
"18074","misogynist",0.21,0.44,0.82,0.67
"18075","misplacing",0,0.97,-0.04,1
"18076","misprint",-0.22,0.94,-0.01,0.96
"18077","mispronounce",0.89,0.85,0.13,1
"18078","misquote",0.3,0.76,0.04,0.96
"18079","misquoted",0.48,0.77,0.11,1
"18080","misread",-0.04,0.94,-0.1,0.93
"18081","misrelated",0.71,0.87,0.51,1
"18082","mispronunciation",0.82,0.89,0.27,0.92
"18083","misreport",0.59,0.72,0.53,1
"18084","misrepresent",0.53,0.91,0.38,0.93
"18085","misrepresentation",0.97,0.93,0.66,0.93
"18086","misrepresentations",1.41,0.96,0.78,0.89
"18087","misrepresenting",1.08,0.93,0.57,0.93
"18088","misrepresents",0.65,0.94,0.47,1
"18089","misrule",0.34,0.77,0.24,1
"18090","miss",-0.55,1,-0.7,1
"18091","missal",-0.51,0.12,-0.07,0.71
"18092","missed",-0.62,0.97,-0.76,1
"18093","misses",-0.36,1,-0.27,1
"18094","misshapen",0.33,0.62,-0.13,0.74
"18095","missile",-0.27,0.97,-0.43,1
"18096","missiles",0.01,0.86,-0.22,0.96
"18097","missile's",0.11,0.94,0.01,1
"18098","missing",-0.53,0.97,-0.53,1
"18099","mission",-0.37,0.97,-0.5,1
"18100","missionaries",-0.12,0.97,0,1
"18101","missionary",-0.19,0.97,-0.08,1
"18102","missions",-0.61,1,-0.38,1
"18103","mississippi",0.15,0.97,0.04,1
"18104","mississippians",1.15,0.81,0.5,0.92
"18105","mississippi's",0.27,0.94,-0.01,0.96
"18106","missive",0.16,0.38,-0.18,0.85
"18107","missouri",-0.22,0.97,-0.42,1
"18108","missouri's",-0.03,0.97,-0.23,1
"18109","misspell",-0.08,0.97,-0.26,1
"18110","misspend",0.51,0.66,0.18,0.92
"18111","misstate",0.32,0.22,0.27,0.88
"18112","misstep",0.35,0.71,-0.13,0.96
"18113","missus",0.41,0.17,0.31,0.65
"18114","missy",-0.15,0.88,-0.53,1
"18115","mist",-0.31,0.97,-0.68,1
"18116","mistakable",0.1,0.94,-0.15,0.96
"18117","mistake",-0.61,1,-0.41,1
"18118","mistaken",-0.48,1,-0.27,1
"18119","mistakenly",-0.08,0.97,-0.25,1
"18120","mistakes",-0.27,1,-0.25,1
"18121","mistaking",-0.16,0.94,-0.16,1
"18122","misted",0.17,0.41,-0.32,0.85
"18123","mister",-0.29,0.97,-0.55,1
"18124","mistime",1.01,0.29,0.04,0.91
"18125","mistletoe",0.29,0.81,0.55,0.96
"18126","mistook",0.01,0.88,-0.31,0.96
"18127","mistral",-0.02,0.38,-0.12,0.48
"18128","mistranslate",0.88,0.71,0.93,0.95
"18129","mistranslation",1.28,0.91,0.93,0.91
"18130","mistress",-0.46,1,-0.45,0.96
"18131","mistrial",0.1,0.71,0.33,0.88
"18132","mistrust",-0.24,1,-0.34,1
"18133","mistrusted",0,0.94,0.21,1
"18134","mists",-0.38,0.94,-0.41,0.96
"18135","misty",-0.32,1,-0.58,1
"18136","misuse",-0.06,0.94,-0.23,1
"18137","misunderstand",0.12,0.97,-0.18,0.89
"18138","misunderstanding",0.51,1,0.07,1
"18139","misunderstandings",0.67,0.97,-0.07,1
"18140","misunderstood",0.23,1,-0.4,1
"18141","miswritten",0.8,0.75,0.08,1
"18142","mitch",-0.35,0.85,-0.67,1
"18143","mitchell",-0.32,1,-0.3,0.96
"18144","mitchell's",-0.1,0.97,-0.11,0.96
"18145","mite",0.1,0.86,-0.57,0.96
"18146","miter",0.89,0.25,0.17,0.41
"18147","mitigate",0.16,0.73,0.64,0.89
"18148","mitigates",0.27,0.55,0.69,1
"18149","mitigating",0.38,0.58,0.54,0.84
"18150","mitigation",0.45,0.65,0.64,1
"18151","mitosis",0.2,0.88,0.44,0.88
"18152","mitre",0.45,0.2,1.07,0.38
"18153","mitt",0.02,0.58,-0.48,1
"18154","mitten",-0.36,0.88,-0.49,1
"18155","mittens",-0.25,0.94,-0.44,1
"18156","mix",-0.44,1,-0.73,1
"18157","mixed",-0.84,0.97,-0.71,1
"18158","mixer",-0.54,1,-0.71,1
"18159","mixers",-0.32,0.97,-0.61,1
"18160","mixing",-0.44,1,-0.67,1
"18161","mixture",-0.6,0.94,-0.64,1
"18162","mixtures",-0.46,1,-0.35,1
"18163","mnemonic",0.62,0.76,0.84,0.88
"18164","moan",-0.46,0.97,-0.49,1
"18165","moaned",-0.26,1,-0.35,1
"18166","moans",-0.47,0.97,-0.41,0.96
"18167","moat",0.07,0.58,-0.61,0.96
"18168","mob",-0.49,1,-0.57,1
"18169","mobile",-0.41,1,-0.43,1
"18170","mobility",-0.36,1,-0.34,0.96
