"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"229","wrest",-0.04,0.56,-0.48,0.96
"230","wrestle",-0.26,1,-0.6,1
"231","wrestler",-0.31,0.94,-0.43,0.96
"232","wrestler's",0.02,0.97,-0.26,1
"233","wrestles",0.1,0.84,-0.35,0.93
"234","wrestling",-0.45,0.97,-0.39,1
"235","wrestlings",0.35,0.9,-0.2,0.93
"236","wretch",0,0.88,-0.39,0.93
"237","wretched",0,0.91,-0.17,0.93
"238","wretchedness",0.76,0.87,0.55,1
"239","wriggle",-0.3,0.73,-0.09,0.96
"240","wright",-0.01,0.84,-0.3,0.96
"241","wrigley",0.36,0.97,-0.26,1
"242","wring",-0.21,0.61,0.04,0.88
"243","wringer",0.11,0.63,-0.19,1
"244","wrings",0.07,0.47,-0.02,0.92
"245","wrinkle",-0.42,1,-0.54,1
"246","wrinkled",-0.36,0.97,-0.29,1
"247","wrinkles",-0.39,1,-0.49,1
"248","wrinkly",-0.1,0.97,-0.18,0.96
"249","wrist",-0.53,0.91,-0.63,1
"250","wristband",-0.1,1,-0.24,1
"251","wrists",-0.33,0.94,-0.37,1
"252","wristwatch",0.21,0.88,0.07,0.96
"253","writ",0.17,0.53,-0.15,0.79
"254","write",-0.68,1,-0.58,1
"255","writer",-0.41,1,-0.53,1
"256","writers",-0.44,0.97,-0.39,1
"257","writer's",-0.33,0.94,-0.32,1
"258","writes",-0.56,0.97,-0.27,1
"259","writhe",0.12,0.65,0.07,0.79
"260","writhed",0.12,0.73,-0.01,0.75
"261","writhing",0.13,0.71,0.22,0.72
"262","writing",-0.34,0.97,-0.47,1
"263","writings",-0.32,0.94,-0.36,1
"264","writs",0.58,0.47,-0.03,0.81
"265","written",-0.68,1,-0.51,1
"266","wrong",-0.65,0.94,-0.76,1
"267","wrongdoer",0.77,0.94,-0.02,0.96
"268","wronged",-0.28,0.9,-0.23,1
"269","wrongdoing",0.15,0.97,-0.04,0.96
"270","wrongful",-0.42,1,-0.32,0.96
"271","wrongly",-0.46,0.97,-0.62,1
"272","wrongs",-0.52,0.94,-0.62,1
"273","wrote",-0.38,0.97,-0.54,1
"274","wrought",-0.08,0.72,-0.29,0.96
"275","wry",-0.26,0.68,-0.44,0.88
"276","wryly",0.16,0.65,-0.05,0.81
"277","wyndham's",0.88,0.61,0.6,0.68
"278","wyoming",-0.26,1,-0.36,1
"279","xavier",-0.21,0.94,0.29,0.93
"280","xavier's",0.05,0.94,0.76,0.92
"281","xenon",0.28,0.61,0.98,0.8
"282","xenophobia",0.56,0.67,1.15,1
